filename,method,psnr
1-014.jpg,iterative_global,13.16
1-014.jpg,otsu,13.16
1-014.jpg,niblack,8.08
1-014.jpg,sauvola,10.28
1-030.jpg,iterative_global,7.75
1-030.jpg,otsu,7.75
1-030.jpg,niblack,7.17
1-030.jpg,sauvola,5.99
1-075.jpg,iterative_global,7.94
1-075.jpg,otsu,7.94
1-075.jpg,niblack,7.44
1-075.jpg,sauvola,6.46
1-108.jpg,iterative_global,12.81
1-108.jpg,otsu,12.81
1-108.jpg,niblack,8.75
1-108.jpg,sauvola,9.04
1-111.jpg,iterative_global,11.9
1-111.jpg,otsu,11.9
1-111.jpg,niblack,7.0
1-111.jpg,sauvola,9.07
1-126.jpg,iterative_global,9.57
1-126.jpg,otsu,9.57
1-126.jpg,niblack,8.15
1-126.jpg,sauvola,7.85
1-196.jpg,iterative_global,11.46
1-196.jpg,otsu,11.46
1-196.jpg,niblack,8.12
1-196.jpg,sauvola,7.42
1-198.jpg,iterative_global,12.23
1-198.jpg,otsu,12.23
1-198.jpg,niblack,8.42
1-198.jpg,sauvola,10.14
1-231.jpg,iterative_global,9.08
1-231.jpg,otsu,9.08
1-231.jpg,niblack,5.97
1-231.jpg,sauvola,7.04
1-263.jpg,iterative_global,7.26
1-263.jpg,otsu,7.19
1-263.jpg,niblack,6.11
1-263.jpg,sauvola,4.87
