Image,Version,EME,EMEE,Visibility,AME,AMEE
1-014.jpg,Original,40.6974,2.0349,0.1706,7.8543,7.8543
1-014.jpg,Student1,267.1068,13.3553,0.7654,1.9134,1.9134
1-014.jpg,Student2,41.5962,2.0798,0.1643,7.8326,7.8326
1-030.jpg,Original,42.0590,2.1030,0.2474,6.1736,6.1736
1-030.jpg,Student1,261.8650,13.0932,0.8375,0.2431,0.2431
1-030.jpg,Student2,43.3124,2.1656,0.2202,6.3332,6.3332
1-075.jpg,Original,41.3227,2.0661,0.2350,5.9828,5.9828
1-075.jpg,Student1,268.8920,13.4446,0.8701,0.1784,0.1784
1-075.jpg,Student2,41.4259,2.0713,0.2216,6.0525,6.0525
1-108.jpg,Original,49.8554,2.4928,0.2182,8.1115,8.1115
1-108.jpg,Student1,325.1579,16.2579,0.9437,0.0853,0.0853
1-108.jpg,Student2,52.9296,2.6465,0.2023,8.1551,8.1551
1-111.jpg,Original,42.8289,2.1414,0.1994,6.1540,6.1540
1-111.jpg,Student1,222.7614,11.1381,0.7467,1.1873,1.1873
1-111.jpg,Student2,43.4364,2.1718,0.1921,6.1454,6.1454
1-126.jpg,Original,48.2683,2.4134,0.2071,7.1241,7.1241
1-126.jpg,Student1,288.0888,14.4044,0.8273,1.0312,1.0312
1-126.jpg,Student2,49.2288,2.4614,0.2024,7.1146,7.1146
1-196.jpg,Original,51.2177,2.5609,0.2434,7.8684,7.8684
1-196.jpg,Student1,329.0584,16.4529,0.9601,0.0488,0.0488
1-196.jpg,Student2,53.5268,2.6763,0.2077,8.0357,8.0357
1-198.jpg,Original,25.8617,1.2931,0.1279,7.6316,7.6316
1-198.jpg,Student1,260.1332,13.0067,0.7587,1.1855,1.1855
1-198.jpg,Student2,26.7021,1.3351,0.1237,7.6013,7.6013
1-231.jpg,Original,49.5641,2.4782,0.2328,3.6246,3.6246
1-231.jpg,Student1,223.0814,11.1541,0.6977,0.5584,0.5584
1-231.jpg,Student2,49.9830,2.4991,0.2258,3.5905,3.5905
1-263.jpg,Original,60.3406,3.0170,0.6894,0.4148,0.4148
1-263.jpg,Student1,42.7831,2.1392,0.6511,0.4553,0.4553
1-263.jpg,Student2,27.2871,1.3644,0.5569,0.6086,0.6086
